User Utterance,Service,API Request Type,API Request URL,API Request Payload,Test_File,Results_File
Can I see all expense reports I need to approve this week?,Expense Reports & Status,GET,/expensereports/v4/users/{userId}/context/MANAGER/reportsToApprove,approvalStatus filter,test_002_can_i_see_all_expense_reports_i_need_to_approve_this_week.py,test_002_results.json
Which expense reports are overdue for approval?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_PEND&submitDateBefore={7daysAgo},test_003_which_expense_reports_are_overdue_for_approval.py,test_003_results.json
Show me expense reports that were sent back to employees,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_RESU,test_004_show_me_expense_reports_that_were_sent_back_to_employees.py,
What reports are currently being processed for payment?,Expense Reports & Status,GET,/api/v3.0/expense/reports,paymentStatusCode=P_PROC,test_005_what_reports_are_currently_being_processed_for_payment.py,test_005_results.json
How many expense reports has my team submitted this month?,Expense Reports & Status,GET,/api/v3.0/expense/reports,user=ALL&submitDateAfter={monthStart}&limit=1000,,
Which of my reports are stuck in exception review?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_AAFH,test_007_which_of_my_reports_are_stuck_in_exception_review.py,test_007_results.json
Show me all reports pending manager approval for a specific employee,Expense Reports & Status,GET,/api/v3.0/expense/reports,user={loginID}&approvalStatusCode=A_PEND,test_008_show_me_all_reports_pending_manager_approval_for_a_specific_employee.py,
What's the total amount in my pending reimbursements?,Expense Reports & Status,GET,/expensereports/v4/reports,"Sum AmountDueEmployee for approvalStatus=SUBMITTED,APPROVED",test_009_whats_the_total_amount_in_my_pending_reimbursements.py,test_009_results.json
Can I see reports that were approved but not yet extracted?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_APPR&hasException=N&extractedDate=null,test_010_can_i_see_reports_that_were_approved_but_not_yet_extracted.py,test_010_results.json
Which reports have I submitted in the last quarter?,Expense Reports & Status,GET,/api/v3.0/expense/reports,user=me&submitDateAfter={quarterStart}&submitDateBefore={quarterEnd},test_011_which_reports_have_i_submitted_in_the_last_quarter.py,test_011_results.json
Show me expense reports with total amount over $5000,Expense Reports & Status,GET,/api/v3.0/expense/reports,totalApprovedAmount>5000,test_012_show_me_expense_reports_with_total_amount_over_5000.py,test_012_results.json
What reports are waiting for finance review?,Expense Reports & Status,GET,/api/v3.0/expense/reports,approvalStatusCode=A_APPR&paymentStatusCode=P_NOTP,test_013_what_reports_are_waiting_for_finance_review.py,test_013_results.json
